customer_id,address_id,job_id,wealth_id,first_name,last_name,gender,DOB,deceased_indicator
46,46,0,30,Kaila,Allin,Female,1972-02-26,N
47,47,42,31,Matthew,Jeaycock,Male,1992-10-22,N
48,48,43,32,Rebbecca,Casone,Female,1975-08-15,N
49,49,33,33,Nolly,Ownsworth,Male,1994-01-26,N
50,50,44,32,Whitby,Schapero,Male,1980-10-01,N
51,51,45,17,Fidelio,Dilke,Male,1959-12-05,N
52,52,7,1,Curran,Bentson,Male,1988-06-22,N
53,53,46,10,Agnella,Gocke,Female,1954-04-18,N
54,54,47,2,Loralyn,Wonfor,Femal,1966-07-24,N
55,55,48,4,Linc,Jillions,Male,1956-09-24,N
56,56,49,1,Reese,Ensor,Male,1996-07-04,N
57,57,50,21,Abba,Masedon,M,1988-06-13,N
58,58,51,8,Dalenna,Pinnock,Female,1967-07-04,N
59,59,52,26,Niki,Heathcote,Male,2000-02-08,N
60,60,53,11,Nadiya,Champerlen,Female,1970-02-04,N
61,61,54,34,Kacey,Rowbottom,Female,1959-11-29,N
62,62,4,1,Sorcha,Roggers,Female,1979-07-06,N
63,63,55,1,Ebony,Zini,Female,1965-07-03,N
64,64,31,16,Gerek,Yve,Male,1978-03-25,N
65,65,56,35,Yale,Tanser,Male,1976-04-01,N
66,66,57,36,Anselm,Gawne,Male,2002-03-11,N
67,67,58,1,Vernon,,Male,1960-06-14,N
68,68,59,37,Dahlia,Eddoes,Female,1974-04-21,N
69,69,60,11,Heidi,Milner,Female,1969-06-22,N
70,70,48,15,Foster,Vannoort,Male,1993-02-27,N
71,71,61,8,Hoyt,Glavias,Male,1985-01-27,N
72,72,62,4,Sammy,Cheese,Male,1972-02-13,N
73,73,63,38,Minette,Worters,Female,1960-05-27,N
74,74,0,2,Pansy,Kiddie,Female,1969-06-19,N
75,75,64,17,Dollie,Sealy,Female,1978-07-15,N
76,76,65,39,Rea,Hasser,Female,1978-01-23,N
77,77,66,10,Shermie,Andrin,Male,1989-09-12,N
78,78,9,15,Arch,Van der Kruis,Male,1985-03-12,N
79,79,44,7,Tybi,Silliman,Female,1968-10-02,N
80,80,67,40,Pablo,Small,Male,1978-04-24,N
81,81,68,41,Bee,Blazewicz,Female,1986-09-04,N
82,82,69,41,Gleda,Cokely,Female,1965-06-28,N
83,83,70,14,Kerr,Simmell,Male,1967-02-26,N
84,84,71,14,Rich,Mathiasen,Male,1958-02-07,N
85,85,72,40,Kane,Tixall,Male,1958-05-21,N
86,86,73,25,Job,Sleney,Male,1989-03-04,N
87,87,24,13,Fields,Langdon,Male,1974-04-23,N
88,88,54,25,Malynda,Tumber,Female,1966-02-03,N
89,89,74,1,Benedicto,Hoxey,Male,1967-01-22,N
90,90,75,42,Cary,Garron,Male,1984-11-12,N
91,91,41,30,Dylan,Meaker,Male,1955-02-24,N
92,92,76,40,Jodee,Judkins,Female,1980-09-11,N
93,93,77,32,Gordon,Gowar,Male,1976-07-16,N
94,94,78,17,Wallache,Simchenko,Male,1974-08-07,N
95,95,79,4,Nomi,Mallinder,Female,1960-12-25,N
96,96,12,7,Heath,Olford,Male,1968-08-31,N
97,97,80,1,Arne,Corain,Male,1979-07-27,N
98,98,81,13,Allianora,Babalola,Female,1956-03-17,N
99,99,82,7,Reggie,Mulliner,Male,1998-06-13,N
100,100,83,1,Tripp,Steed,Male,1968-05-11,N
